ime,datum 
Goro Adachi,01.01.1913
Kauko Salomaa,28.02.1928
Andrej Miklavc,05.06.1970
Cheol Min Kim,29.11.1992
Stefi Luxton,29.09.1991
Ralph Joseph Townsend,28.12.1921
Armand Carlsen,20.10.1905
Rene Sommerfeldt,02.10.1974
Alejandro Giro,06.06.1970
Gottlieb Taschler,21.08.1961
Leif Kristian Haugen,29.11.1987
Paolino Dimai,28.01.1931
Mengtao Xu,12.07.1990
Regino Hernandez,25.07.1991
Katerina Novotna,12.08.1984
Beatrix Suzetta Loughran,30.06.1900
Kyle Mack,06.07.1997
Alexander Belov,11.09.1981
Steve Locher,19.09.1967
Gus Kenworthy,01.10.1991
Karl Lustenberger,10.10.1952
Alexis Pinturault,20.03.1991
Reinhold Rainer,29.08.1973
Travis Gerrits,19.10.1991
Harri Olli,15.01.1985
Gerhard Glass,17.07.1927
Natalia Baranova Masolkina,25.02.1975
Yong Hun Song,13.01.1972
Sergey Mozhaev,22.02.1988
Lars Mattsson,17.01.1932
Katya Galstyan,01.01.1993
Guojun Tian,10.03.1990
Gyri Sorensen,12.06.1951
Gerard Durand Poudret,14.07.1959
Igor Gayniakhmetovich Badamshin,12.06.1966
Debbie Armstrong,06.12.1963
Kalyna Roberge,01.10.1986
Karl Anders Bohlin,20.12.1938
Guy Balland,16.05.1960
Sven Mikaelsson,05.12.1943
Jose Luis Koifman,16.05.1954
Loena Hendrickx,05.11.1999
Nanak Chand,20.03.1971
Andrzej Rapacz,01.09.1948
Beth Paxson,10.02.1960
Maria Butyrskaya,28.06.1972
Giuliana Chenal Minuzzo,26.11.1931
Lubomira Balazova,13.08.1968
Walter Muller,16.04.1940
Qishi Li,16.08.1993
Taylor Morris,04.06.1991
Dimitry Ipatov,30.06.1984
Anastasiya Merkushyna,14.01.1995
Nobutaka Sasaki,03.10.1947
Yuji Kamijo,07.04.1986
Janne Ryynaenen,01.01.1988
Rusiate Rogoyawa,16.05.1961
Vasyl Grybovich,23.01.1970
Lauri Pyykonen,20.04.1978
Andrea Voetter,03.04.1995
Rok Petrovic,05.02.1966
Hans Pieren,23.01.1962
Michail Semenov,06.02.1986
Ivan Arteev,24.03.1977
Claudia Riegler,16.07.1976
Elena Yudina,22.04.1988
Otso Raisanen,01.10.1994
Nicole Schott,12.09.1996
Grzegorz Bodziana,03.06.1981
Martins Rubenis,26.09.1978
Asgeir Eyjolfsson,04.05.1929
Gerda Weissensteiner,03.01.1969
Rudi Wanner,28.01.1951
Klas Lestander,18.04.1931
Yulia Livinskaya,31.07.1990
Hilary Laing,21.09.1927
Marit Henie,13.02.1925
Joze Poklukar,30.01.1973
Michael Slipchuk,19.03.1966
Sacha Theocharis,19.11.1990
Jean Claude Viry,15.08.1943
Lilia Vaygina Efremova,15.04.1977
Trace Worthington,28.11.1969
Christian Auer,04.04.1966
Andreas Gohl,29.01.1994
Anastazia Kuzmina,28.08.1984
Noel Baxter,25.07.1981
Stephane Lambiel,02.04.1985
Martin Rettl,25.11.1973
Emelie Wikstroem,02.10.1992
Krista Schmidinger,18.05.1970
Alexsandr Chervyhkov,18.06.1980
Ragnhild Mowinckel,12.09.1992
Mirko Bavce,15.07.1942
Ragnar Tveiten,27.11.1938
Jesse Vaeaenaenen,06.01.1984
Hans Baumann,28.03.1909
Elemer Tardonfalvi,02.11.1918
Hans Hartleb,06.11.1951
Herbert Fritzenwenger,07.10.1967
Susanne Rudolph,10.02.1981
Stefan Jon Sigurgeirsson,19.05.1989
Ondrej Valenta,27.01.1973
Janne Stefansson,19.03.1935
Alfred Winkler,04.05.1943
Franz Tiefenbacher,16.09.1942
Ayana Zholdas,09.06.2001
Alexander Sannikov,12.07.1971
Melitta Brunner,28.01.1907
Gregor Sparovec,29.12.1977
Nick Baumgartner,17.12.1981
Benoit Buratti,10.11.1997
Ayano Sato,10.12.1996
Armin Bauer,15.07.1990
Patrick Caldwell,18.02.1994
William George Clark,10.07.1910
Yong Hae Jun,13.09.1964
Silke Bachmann,21.02.1977
Stephanos Tsimikalis,08.06.1985
Diana Tomkinson,23.04.1943
Johann Muhlegg,08.11.1970
Jiri Teply,02.12.1962
Marta Vastagh Regos,22.10.1981
Andreas Haatveit,09.07.1986
Eric Luoma,14.11.1932
Yanfei Liu,15.02.1967
Rosemarie Schutz,15.11.1930
Gennadi Voronin,30.11.1933
Wenhao Liang,06.07.1992
Arif Alaftargil,27.10.1973
Ebba Andersson,10.07.1997
Ondrej Vaculik,12.05.1986
Giorgi Sogoiani,07.07.1997
Eberhard Rosch,09.04.1954
Mathieu Giroux,03.02.1986
Roman Seljak,27.09.1934
Terje Langli,03.02.1965
Viktor Petrenko,27.06.1969
Yoshiharu Fukuhara,10.02.1942
Jesus Gatell Margarit,13.07.1943
Yakub Kadri Birinci,24.11.1966
Malcolm Milne,09.11.1948
Stephan Huygen,07.02.1968
Volodymyr Olshanskyy,21.02.1976
Marc Gagnon,24.05.1975
Luis Fernando Rios,30.05.1956
Jorik Hendrickx,18.05.1992
Warren Cummings Smith,21.06.1992
Gertrud Gabl,26.08.1948
Young Sik Cho,24.07.1931
Corinne Rey Bellet,02.08.1972
Hana Maskova,26.09.1949
Darya Domracheva,03.08.1986
Abby Larson,19.04.1979
Carol Blackwood,27.10.1953
Graeme Ferguson,17.06.1952
Luca Stefani,22.02.1987
Carol Heiss,20.01.1940
Max Franz,01.09.1989
Kristine Kristiansen,19.11.1975
Katharina Innerhofer,17.01.1991
Zahari Grivev,21.01.1931
Arianna Fontana,14.04.1990
Olivier Jenot,28.02.1988
Charles Gorman,06.06.1897
Ralph Borghard,17.04.1944
Josie Morrison,02.02.1994
Axel Blomqvist,14.12.1894
Katrin Ofner,05.03.1990
Merete Fjeldavlie,13.08.1968
Helmut Bock,14.02.1931
Sverre Stensheim,31.10.1933
Heinz Hugelshofer,25.03.1919
Yong Suk Kim,12.06.1979
Sophia Ralli,04.03.1988
Davide Simoncelli,30.01.1979
Yayoi Nagaoka,16.03.1974
Gregory Carigiet,08.03.1987
Tomislav Lopatic,06.03.1963
Mikael Holm,08.10.1968
Jarmila Stastna,01.07.1932
Josef Kovarik,27.04.1966
Stephane Exartier,12.03.1969
Konrad Niedzwiedzki,02.01.1985
Toivo Ovaska,18.12.1899
Karel Zelenka,31.03.1983
Maxime Laheurte,20.05.1985
Egil Gjelland,12.11.1973
Monique Angermueller,27.01.1984
Hong Seon Ha,01.06.1991
Young Dai Joo,20.09.1966
Viktor Leskine,27.10.1953
Kexin Zhang,17.10.1995
Guillermo Avila Paz,28.12.1960
Grete Lainer,20.06.1914
Erika Hansson,02.07.1973
Gerald Koning,28.03.1933
Jon Karl Sigurdsson,11.04.1932
Rafael Kreienbuehl,10.06.1999
Thomas Jacob,11.11.1965
Rocio Delgado,21.07.1977
Ivar Stefansson,08.10.1927
Bert De Jong,12.06.1955
Elise Pellegrin,07.05.1991
Tine Kongsholm,09.12.1969
Damir Jurcevic,19.11.1978
Nils Skulbru,20.07.1938
Rachel Steer,25.01.1978
Vassil Bojilov,18.09.1967
Tobias Gruenenfelder,27.11.1977
Christoph Mick,02.08.1988
Tamara Tikhonova,13.06.1964
Michelle Gorgone,18.10.1983
Erik Zachrisson,08.09.1980
Spela Bracun,03.08.1977
Daniela Vlaeva,07.03.1976
Nawal Slaoui,16.02.1966
Betsy Clifford,15.10.1953
Ljubov Volkova,30.11.1931
Cassie Sharpe,14.09.1992
Jessika Jenson,07.08.1991
Richard Parsons,02.06.1910
Mitchell Brown,18.08.1987
Matevz Lukanc,01.03.1926
John Eklund,21.09.1993
Julian Munoz Aia,11.07.1946
Ivan Karaulov,23.06.1980
Heiderun Ludwig,18.09.1940
David Tamburrino,19.09.1972
Gaia Vuerich,04.07.1991
Brane Benedik,22.06.1960
Valery Medvedtsev,05.07.1964
Svetlana Fedotkina,22.07.1967
Dieter Krassnig,03.08.1973
Marko Djordjevic,06.09.1978
Jacques Mrozek,11.05.1950
Kyoungeun Kim,08.08.1998
Sanni Leinonen,08.11.1989
Bo Konig,31.05.1965
Reinhold Sulzbacher,29.07.1944
Ursula Konzett,15.11.1959
Eric Loughran,12.04.1995
Alexander Marent,21.02.1969
Amy Sannes,03.02.1977
Yuri Chulga,02.01.1966
Olga Koroleva,30.04.1979
Helmut Hoflehner,24.11.1959
Akbar Kalili,30.11.1955
Denis Tishagin,04.04.1975
Alena Prochazkova,09.08.1984
Adolf Rosti,30.08.1947
Johann Passler,18.08.1961
Roman Worndle,04.10.1913
Vitaly Martsyv,19.06.1983
Hannu Taipale,22.06.1940
Willem De Graaff,25.08.1931
Norbert Schramm,07.04.1960
Aksel Lund Svindal,26.12.1982
Ching Yang Sung,18.10.1992
Hans Nogler,28.02.1919
Richard Freitag,14.08.1991
Dorothea Hochleitner,10.07.1925
Julie Wendel Lundholdt,20.11.1983
Zdenek Hak,13.12.1958
Robert Skepper,03.04.1938
Baptiste Gros,17.07.1990
Giorgio Vanzetta,09.10.1959
Klemen Bergant,14.09.1966
Borek Zakouril,11.11.1976
Simen Spieler Nilsen,04.08.1993
Jason Edelmann,21.08.1970
Jakub Simonak,05.06.1996
Sergey Brener,06.03.1971
Ryosuke Sakazume,21.03.1990
Truls Ove Karlsen,25.04.1975
Lisa Zimmermann,02.03.1996
Vladimir Grigorev,08.08.1982
Ivan Tcherezov,18.11.1980
Rosi Speiser,24.11.1951
Martin Svagerko,02.10.1967
Nathalie Bouvier,31.08.1969
Fernando Reutter,20.05.1958
Yelena Tumanova,31.05.1965
Angeli Vanlaanen,24.10.1985
Patrick Staudacher,29.04.1980
Heung Chul Choi,03.12.1981
Sandra Laoura,21.07.1980
Jonas Aspman,02.07.1973
Torin Koos,19.07.1980
Tormod Knutsen,07.01.1932
Hans Heinrich Winckler,14.11.1954
Cameron Morton,03.03.1974
Timo Murama,15.10.1912
Regina Rakhimova,22.09.1989
Mary Jane Bowie,03.03.1948
Jon Terje Overland,14.12.1944
Yulia Lavrenchuk,24.05.1978
Peter Seilern,07.02.1936
Hazel Hutcheon,18.08.1960
Michal Giacko,27.09.1969
Madoka Natumi,02.07.1978
Byung Joo Park,23.04.1979
Ole Andreas Kolterud,01.05.1903
Josef Ponn,18.10.1905
Kaja Ziomek,03.08.1997
Rosanna Crawford,23.05.1988
Martin Koukal,25.09.1978
Steven Clifford,06.05.1955
Aleksey Belyayev,20.02.1985
Jiachen Hao,07.05.1990
Alf Konningen,24.06.1901
Anna Seidel,31.03.1998
Jiri Kyncl,03.11.1962
Xiaopeng Han,13.12.1983
Chantal Cote,16.02.1964
Jan Petter Lindvall,18.03.1950
Lucia Peretti,14.11.1990
Sandris Berzins,15.07.1976
Michael Roesch,04.05.1983
Marit Oiseth,29.12.1928
Julien Cousineau,17.01.1981
Donghyeon Kim,24.09.1991
Charles Proctor,04.01.1906
David Bodington,30.07.1947
Ahti Toivanen,05.01.1990
Barbara Grocholska,24.08.1927
Manuel Pietropoli,30.04.1990
Dumitru Fratila,06.03.1926
Patrick Singleton,15.08.1974
Carl Davies,30.07.1964
Dimitri Doubrovski,05.07.1974
Bruce Peppin,21.11.1924
Yuliya Anatolyevna Chepalova,23.12.1976
Jean Noel Fagot,09.12.1958
Risto Jussilainen,10.06.1975
Gi Ro Lee,23.11.1975
Kazuaki Ichimura,11.08.1957
Doriane Vidal,16.04.1976
Laszlo Csavas,19.09.1934
Helena Takalo,28.10.1947
Kamila Rajdlova,22.04.1978
Erika Huszar,22.11.1983
Werner Kiem,30.11.1962
Yngvar Karlsen,04.06.1920
Reid Watts,22.12.1998
Jochen Danneberg,09.04.1953
Lothar Christian Munder,21.07.1962
Maria Belen Simari Birkner,18.08.1982
Natacha Mohbat,17.10.1996
Adeline Baud,28.09.1992
Michela Ponza,12.02.1979
Chao Wu,07.09.1987
Lisi Pall,15.02.1951
Lucille Opitz,24.11.1977
Nobuyuki Nishi,13.07.1985
Ivo Carman,24.09.1959
Ibrahim Geagea,25.05.1924
Gaston Begue,03.09.1972
Alexander Volkov,28.03.1978
Alex Ferreira,14.08.1994
Alois Kanamuller,14.08.1952
Laila Schou Nilsen,18.03.1919
Wojciech Truchan,15.04.1948
Alessandro Riccitelli,06.01.1965
Kristina Spiridonova,21.08.1998
Michal Klusak,20.07.1990
Roger Cruickshank,18.10.1982
Qiu Sen,26.01.1982
Petr Sedov,24.08.1990
Maja Klepic,23.05.1988
Yuri Danilochkin,22.02.1991
Bozena Moserova,30.06.1926
John Daly 2,10.06.1985
Jean Christophe Simond,29.04.1960
Dagny Jorgensen,22.03.1929
Rodolfo Roberto Dickson Sommers,11.07.1997
Sung Hoon Cho,03.04.1964
Christopher Hoeger,15.01.1985
Wieslaw Ziemianin,07.09.1970
Olga Fatkulina,23.01.1990
Aleksandr Tikhonov,02.01.1947
Yulia Belorukova,21.01.1995
Andre Gegout,30.11.1903
Guido Gillarduzzi,07.10.1939
Vicente Vilarrubla,31.01.1981
Brigt Rykkje,16.06.1975
Jozef Pawlusiak,16.09.1956
Renars Dorsh,13.10.1985
Andrey Boldykov,04.10.1983
Zdenek Pazdirek,13.12.1953
Shunsuke Komamura,20.05.1979
Alexei Almoukov,22.03.1990
Karen Sofie Styrmoe,20.10.1930
Yvonne Seifert,27.07.1964
Philippe Verneret,03.07.1962
Ronan Lamy Chappuis,10.09.1993
Anton Dukach,30.07.1995
Il Hwan Lee,17.01.1946
Resi Hammerer,18.02.1925
Arthur Longsjo,23.10.1931
Jimmy Heuga,22.09.1943
Adrian Wielgat,10.02.1993
Asko Autio,21.04.1953
Michael Neumayer,15.01.1979
Silvia Fontana,03.12.1976
Karine Philippot,29.10.1974
Dag Fornaess,30.06.1948
Stanley Clair Fail,11.06.1936
Todor Machov,25.10.1961
Britt Strandberg,31.03.1934
Tage L Lundin,11.11.1933
Tomas Huppert,05.10.1942
Harri Kirvesniemi,10.05.1958
Jirina Pelcova,22.11.1969
Jean Pierre Vidal,24.02.1977
Mirai Nagasu,16.04.1993
Egon Zimmermann,08.02.1939
Karin Borner,21.09.1935
Emily Brydon,21.04.1980
Rakel Wahl,18.03.1921
Miguel Porteous,14.05.1999
Ferdinand Gluck,
Helga Maria Vilhjalmsdottir,25.04.1995
Laura Peel,29.09.1989
Janis Berzins,09.01.1982
Sebastien Lepape,04.07.1991
Maxence Muzaton,26.06.1990
Marie France Van Helden,30.09.1959
Daria Serova,24.07.1982
Anna Sablina,22.02.1945
Paul De La Cuesta,28.11.1988
Petra Ruhrmann,02.08.1950
Magnar Estenstad,27.09.1924
Mitja Drinovec,22.02.1996
Lara Van Ruijven 1,28.12.1992
Regina Sterz,23.03.1985
Igor Bobrin,14.11.1953
Sepp Schonmetzler,24.09.1944
Yuriy Litvinov,06.05.1978
Nauris Skraustins,12.09.1978
Timea Sara,21.04.1992
David Irwin,12.07.1954
Peter Heli,27.02.1969
Anete Brice,13.11.1991
Perrine Laffont,28.10.1998
Rainer Schmidt,01.08.1948
Tatiana Ivanova,16.02.1991
Katharina Althaus,23.05.1996
Sven Andersson,21.08.1921
Jun Ho Hwang,03.08.1993
Marie Andree Masson,08.10.1963
Pirjo Manninen,08.03.1981
David Wise,30.06.1990
Stephanie Bouvier,15.11.1981
Scott Perras,25.10.1983
Sergio Giacomo Berger,01.01.1983
Cornelia Sulzer,04.01.1964
Peter Karns,24.10.1945
Antenore Cuel,27.03.1922
Ludmil Tontchev,22.06.1958
Kari Traa,28.01.1974
Jernej Damjan,28.05.1983
Ashley Walden,05.11.1981
Dachhiri Sherpa,03.11.1969
Valery Dudin,20.08.1963
David Gilman,06.12.1954
Sergei Marchuk,13.04.1952
William Charles Marolt,01.09.1943
Sergiu Balan 1,15.08.1987
Magnar Ingebrigtsli,11.11.1932
Gina Fulton,13.02.1971
Yannick Bertrand,18.08.1980
Fabrice Notari,26.04.1958
Frederic Baud,05.02.1975
Annemarie Bischofsberger,29.01.1960
Karen Persyn,31.03.1983
Natalia Lovece,30.03.1978
Jennie Lee Burmansson,12.07.2002
Erkki Kilpinen,20.06.1948
Chris Blanchard,22.04.1971
Meng Wang,10.04.1985
Luis Fernandez Ochoa,13.01.1965
Jordan Belchos,22.06.1989
David Jenkins,29.06.1936
Rebekah Bradford,30.04.1983
Andreas Langer,13.10.1956
Bernadette Rauter,08.08.1949
Andrey Anufriyenko,26.11.1970
Battulga Oktyabri,07.11.1980
Sirkka Polkunen,06.11.1927
Reynir Brynjolfsson,07.02.1945
Alexander Loginov,31.01.1992
Ralph Burghart,16.09.1966
Arturo Hammersley,21.05.1922
Kristers Aparjods,24.02.1998
Chiara Costazza,06.05.1984
Emile Allais,25.02.1912
Raphael Burtin,09.02.1977
Wilfried Schneider,12.03.1963
Samer Tawk,03.09.1998
Erich Wilbrecht,12.11.1961
Divina Galica,13.08.1944
Tarjei Boe,29.07.1988
Brendan Eppert,10.02.1970
Steve Podborski,25.07.1957
Anti Saarepuu,26.03.1983
Caroline Gedde Dahl,03.11.1973
Masahiko Yamamoto,26.08.1956
Elias Allenspach,14.05.2001
Estelle Weigel,18.11.1914
Tara Lipinski,10.06.1982
Petra Jaszapati,31.12.1998
Fanny Smith,20.05.1992
Galina Maniachenko,23.12.1980
Mogens Christensen,09.12.1929
Hiroyasu Shimizu,27.02.1974
Brynjar Jokull Gudmundsson,10.03.1989
Janusz Krezelok,18.12.1974
Daniel Mahrer,06.01.1962
Bronwen Thomas,17.03.1969
Marie Vichova,09.10.1945
Aerchenghazi Xiakaini,18.07.1995
Gro Kvinlog Genlid,08.06.1976
Gina Regland,16.09.1927
Susan Jackson,30.11.1965
Jelena Peeters,19.12.1985
Bojan Krizaj,03.01.1957
Marzhan Akzhigit,29.06.2000
Marie Therese Bonnet,26.01.1955
Roxana Luca,23.12.1982
Tomaz Zemva,18.08.1973
Luis Molne Armengol,26.06.1926
Heather Mcphie,28.05.1984
Yelena Sinitsina,04.10.1971
Didier Bouvet,06.03.1961
Josef Kahl,31.03.1913
Eva Karin Westin,24.06.1972
Elizabeth Manley,07.08.1965
Walter Kuss,07.05.1965
Martti H Meinila,10.11.1927
Topi Sarparanta,25.05.1975
Stanislav Fajstaver,06.05.1943
Hyong Jun Joo 1,22.04.1991
Gilbert Poirot,21.09.1944
Peter Frenette,24.02.1992
Yuliya Nemaya,30.12.1977
Sachiko Saito,15.01.1947
Noriyo Hiroi,03.05.1976
Giulio Capitanio,06.03.1952
Katsuhito Ebisawa,11.07.1972
Erroll Fraser,30.07.1950
Marcelo Vasquez,06.08.1971
Klas Vangen,18.09.1978
Erling Jevne,24.03.1966
Marina Lebedeva,29.05.1985
Mihaly Martos,01.02.1945
Anke Wischnewski,05.01.1978
Helmut Gerlach,07.06.1937
Ghassan Keyrouz,15.02.1951
Minna Karhu,02.11.1971
Adelheida Mrozke,25.06.1944
Abraham Fernandez Martinez,01.06.1967
Karolina Erbanova,27.10.1992
Jaroslava Bukvajova,17.11.1975
Libby Ludlow,26.08.1981
Michael Panagiotis Voudouris,26.03.1960
Bernhard Gstrein,19.09.1965
Apollo Lynge,11.01.1940
Andrea Komsic,04.05.1996
Primo Kopac,25.11.1970
Anastasia Tatalina,05.09.2000
Alessandro Haemmerle,30.07.1993
Masahito Shinohara,10.05.1961
Jessica Jislova,28.07.1994
Peter Firstbrook,11.05.1933
Heidi Preuss,18.03.1961
Maria Shkanova,18.10.1989
Lev Zaitzev,13.06.1937
Howard Wayne Campbell,14.05.1943
John Curry,09.09.1949
Margrit Gertsch,13.12.1939
Agnieszka Gasienica Daniel,22.12.1987
Helen Novikov,26.11.1976
Kees Broekman,02.07.1927
Kuo Liang Chia,13.12.1950
Vesna Fabjan,13.03.1985
Kevin Esteve Rigail,27.12.1989
Miriam Vazquez,09.03.1985
Konstantin Chistiakov,20.03.1970
Anzhelika Gavrilova,14.04.1978
Krzysztof Sosna,11.10.1969
Jacqueline Martel,11.02.1927
Marie Pierre Gatel,16.12.1968
Orjan Sandler,28.09.1940
Scott Allen,08.02.1949
Sergei Dolidovich,18.05.1973
Jouko Tormanen,10.04.1954
Melanie Turgeon,21.10.1976
Thomas Burgler,03.03.1960
Vinzenz Lueps,26.02.1981
Fiorella Negro,26.05.1938
Aleksandr Smyshliaev,16.03.1987
Katrin Zeller,01.03.1979
Ricardas Panavas,01.04.1972
Ksenia Makarova,20.12.1992
Stefania Biegun,11.08.1935
Chiho Takao,20.02.1984
Hidetoshi Sato,31.12.1950
Werner Mattle,06.11.1949
Walter Steiner 2,15.02.1951
Jan Eichhorn,08.05.1981
Ana Naumann,01.10.1947
Ion Pervilhac,28.05.1947
Charles Keeble,26.01.1934
Marko Kavcic,08.07.1949
Jennifer Piot,24.03.1992
Nobuo Sato,03.01.1942
Jenny Jonsson,25.06.1977
Carina Vogt,05.02.1992
Gabriel Hottegindre,26.11.1979
Isabella Dal Balcon,11.09.1977
Jeremy Abbott 1,05.06.1985
Fausto Radici,24.09.1953
Sara Takanashi,08.10.1996
Sergey Khlebnikov,27.08.1955
Anja Paerson,25.04.1981
Tatsuo Kitamura,10.01.1940
Karri Hietamaki,20.09.1969
Elisabetta Pizio,19.03.1971
Jamie Gregg,18.03.1985
Juan Poll Puig,17.03.1927
Yulia Galysheva,23.10.1992
Francisco Viladomat Lena,04.09.1931
Peter Juhani Lahdenpera,29.12.1935
Helmut Kuhnert,01.03.1936
Margit Schumann,14.09.1952
Kristoffer Berntsson,13.07.1982
Waltraud Schiefer,11.07.1979
Wilhelm Aschwanden,18.12.1969
Alexij Tregobov,08.07.1971
Sven Olov Axelsson,22.01.1947
Woo Youn Eu,31.01.1967
Anastasiia Chirtcova,17.02.1990
Bartosz Konopko,06.06.1988
Jari Puikkonen,25.06.1959
Axel Johansson 1,23.05.1910
Rohan Chapman Davies,04.09.1991
Thomas Klauser,09.06.1964
Su Min Li,01.08.1974
Francoise Lucas,03.03.1939
Rebecca Cremer,03.04.1924
Karl Zillibiller,03.09.1933
Lee Kyung Chun,06.01.1976
Weronika Budny,30.10.1941
Nikita Tregubov,14.02.1995
Franz Heinzer,11.04.1962
Peetu Piiroinen,15.02.1988
Fengtong Yu,15.12.1984
Lidiya Skoblikova,08.03.1939
Louis Rupprecht,27.12.1925
Tami Kiuru,13.09.1976
William George Day,21.01.1934
Yuri Kalinine,20.01.1953
Paul Robinson,10.04.1965
Elisabeth Woolsey Davenport,28.12.1908
Tilo Gutzeit,27.01.1938
Carole Stanisiere,03.06.1970
Shione Kaminaga,26.09.1999
Kyu Hyun Lee,15.10.1980
Ziyan Guan,16.11.2000
Andrei Turea,11.10.1998
Martin Weber,15.04.1954
Fausto Bormetti,20.05.1965
Marianne Kjorstad,27.03.1970
Anni Kronbichler,22.03.1963
Franco Manfroi,11.06.1939
Fiona Campbell,12.05.1929
Isabel Clark Ribeiro,24.10.1976
Maciej Bydlinski,11.03.1988
Arthur Longo,21.07.1988
Tomislaw Tajner,14.05.1983
Elwira Seroczynska,01.05.1931
Lauri Vuorinen,01.01.1995
Lars Erik Eriksen,29.12.1954
Margarit Nikolyan,27.05.1974
Robert Scott Detlof,06.05.1961
Veronika Gonczi,18.10.1969
Gabrijela Skender,07.10.1999
Mika Laitinen,05.03.1973
Dan Simoneau,09.01.1959
Vassili Vorobiov,25.05.1971
Tambet Pikkor,17.04.1980
Miwa Ota,13.12.1968
Ileana Ianosiu Hangan,23.01.1969
Matias Jose Jerman,30.01.1956
Jeffrey Stevens,26.07.1945
Kanes Sucharitakul,13.02.1992
Byambadorj Bold,06.04.1991
Cathy Turner,10.04.1962
Edy Schild,21.02.1919
Mattia Pellegrin,08.06.1989
Mihaela Fera,06.08.1970
Milan Sperl,26.02.1980
Seppi Hurschler,23.06.1983
Dahae Shin,13.11.1988
Josef Fendt,06.10.1947
Dieter Fersch,10.01.1946
Elisabeth Schwarz,19.05.1936
Haejin Kim,23.04.1997
Kwan Kyu Kim,15.03.1967
Norberto Quiroga,25.09.1959
Alessandro Scotta,23.03.1969
Anders Lundqvist,08.03.1951
Charlotte Bankes,10.06.1995
Jozef Karpiel,18.01.1932
Anders Bardal,24.08.1982
Frederic Walter Dix,30.11.1882
Ivan Heimschild,05.03.1980
Irina Tournedavskaya,04.02.1947
Catherine Machado,20.04.1936
Rudolf Vrana,14.07.1910
Jana Soltysova,30.09.1959
Hans Gerschwiler,20.06.1920
Lukas Bauer,18.08.1977
Miroslav Svaricek,14.02.1942
Ingrid Wigernaes,22.02.1928
Marlies Oberholzer,25.04.1958
Tsuguhisa Kikuchi,13.06.1948
Luka Klasinc,07.03.1973
Tobias Eberhard,12.01.1985
Sergey Cherepanov,25.01.1986
Ottar Gjermundshaug,29.01.1925
Christian Strom,14.06.1947
Franco Cavegn,06.01.1971
Akira Sato,19.07.1964
Jan Jozwik,16.03.1952
Sverre Istad,03.01.1965
Alexandra Camenscic,28.08.1988
Tony Ramoin,23.12.1988
Hiromi Otsu,22.05.1984
Lotfi Housnialaoui,28.05.1972
Apostolos Angelis,24.06.1993
Aleksandr Fadeev,04.01.1964
Anna Carin Olofsson Zidek,01.04.1973
Orazio Fagone,13.11.1968
Magnus Schadler,12.10.1942
Takanobu Okabe,26.10.1970
Robert Brewer,01.03.1939
Dominic Edward Parsons,08.09.1987
Julian Green,03.11.1965
Leonhard Nagenrauft,09.03.1938
Rostyslav Feshchuk,01.05.1990
Willy Favre,24.09.1943
Donghai Qu,28.12.1973
Despina Vavatsi,02.05.1978
Taylah Oneill,11.11.1994
Takaharu Nakai,10.03.1984
Petra Schaaf,05.01.1969
Matthew Savoie,12.09.1980
Anna Segal,15.08.1986
Curdin Perl,15.11.1984
Daniela Merighetti,05.07.1981
Michael Donald Gallagher,03.10.1941
Harry Lien,
Lubomira Kalinova,11.02.1982
Valeri Kopaev,15.07.1954
Kurt Sulzenbacher,29.10.1976
Lu Chen,24.11.1976
Marco Weber,28.09.1982
Brendan Doran,17.03.1979
Yuri Yoshikawa,06.08.1971
Ursula Bruhin,19.03.1970
Anna Mirtova,14.07.1992
Anke Karstens,13.10.1985
Bruno Burrini,22.11.1931
Roland Zwahlen,17.05.1977
Grete Kummen,21.04.1952
Lars Dahlqvist,26.10.1935
Michele Rohrbach,28.12.1974
Lars Goran Arwidson,04.04.1946
Eric Bergoust,27.08.1969
Jurgen Hasler,07.05.1973
Christos Papageorgiou,20.03.1926
Cara Beth Burnside,23.07.1971
Mialitiana Clerc,16.11.2001
Gunder Gundersen,12.09.1930
Filip Fischer,08.03.1981
Amy Gough,24.08.1977
Jakub Hyman,16.04.1984
Semen Denshchikov,10.04.1993
Markus Ebner,09.11.1970
Nino Tsiklauri,01.07.1993
Stig Sollander,25.06.1926
Andrea Sammaritani,30.11.1957
Mike Riddle,17.06.1986
Andreas Sprecher,08.11.1944
Philippe Roux,07.12.1952
Roni Remme,14.02.1996
Elodie Bourgeois Pin,02.03.1982
Liisa Savijarvi,29.12.1963
Alois Leodolter,16.08.1931
Linda Cochran,10.07.1953
Eduard Subotsch,11.05.1969
Anne Heggtveit,11.01.1939
Riitta Liisa Roponen,06.05.1978
Jong Woo Lee,07.07.1985
Nikolai Pankratov,23.12.1982
Kris Freeman,14.10.1980
Jussi Penttala,09.10.1993
Sergeij Komarov,09.12.1983
Dustin Molicki,13.08.1975
Victor Muffat Jeandet 1,05.03.1989
Shingo Doi,23.08.1983
Tapio Nurmela,02.01.1975
Yong Lee,23.06.1978
Gundars Upenieks,31.03.1971
Elina Pienimaeki,20.07.1976
Wel Za Bak,30.06.1944
Ole Stenen,29.08.1903
Mohammad Hadi Kia Shemshakis,30.11.1954
Shirra Kenworthy,19.04.1943
Timofei Slivets 1,22.10.1984
Sergey Danilin,01.01.1960
Chunxue Chi,04.01.1998
Min Miao,28.04.1960
Charles Ryan Leveille Cox,07.03.1983
Ann Marie Karlsson,21.03.1968
